Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,10625.000000,11175.000000,10350.000000,11075.000000,11075.000000,5485700
2019-08-14,11200.000000,11250.000000,10800.000000,11175.000000,11175.000000,2188800
2019-08-15,11000.000000,11100.000000,10800.000000,11075.000000,11075.000000,2610500
2019-08-16,11075.000000,11075.000000,10500.000000,10950.000000,10950.000000,2283900
2019-08-19,10950.000000,10950.000000,10650.000000,10650.000000,10650.000000,446300
2019-08-20,10675.000000,10800.000000,10375.000000,10400.000000,10400.000000,495500
2019-08-21,10425.000000,10700.000000,10250.000000,10400.000000,10400.000000,566700
2019-08-22,10550.000000,10575.000000,10250.000000,10575.000000,10575.000000,817600
2019-08-23,10650.000000,10800.000000,10500.000000,10650.000000,10650.000000,881200
2019-08-26,10300.000000,10950.000000,10125.000000,10800.000000,10800.000000,2109000
2019-08-27,10800.000000,10875.000000,10500.000000,10500.000000,10500.000000,532700
2019-08-28,10500.000000,10650.000000,10450.000000,10525.000000,10525.000000,279100
2019-08-29,10525.000000,10575.000000,10500.000000,10500.000000,10500.000000,835700
2019-08-30,10500.000000,10650.000000,10500.000000,10500.000000,10500.000000,339100
2019-09-02,10500.000000,10650.000000,10500.000000,10500.000000,10500.000000,598600
2019-09-03,10500.000000,10700.000000,10500.000000,10525.000000,10525.000000,793300
2019-09-04,10525.000000,10525.000000,10425.000000,10450.000000,10450.000000,309500
2019-09-05,10475.000000,10525.000000,10400.000000,10400.000000,10400.000000,553100
2019-09-06,10400.000000,10475.000000,10350.000000,10400.000000,10400.000000,280800
2019-09-09,10400.000000,10475.000000,10350.000000,10350.000000,10350.000000,258500
2019-09-10,10350.000000,10550.000000,10350.000000,10500.000000,10500.000000,451800
2019-09-11,10575.000000,10600.000000,10425.000000,10500.000000,10500.000000,229600
2019-09-12,10600.000000,10600.000000,10325.000000,10325.000000,10325.000000,336500
2019-09-13,10325.000000,10575.000000,10325.000000,10475.000000,10475.000000,465800
2019-09-16,10550.000000,10725.000000,10550.000000,10700.000000,10700.000000,902500
2019-09-17,10650.000000,11400.000000,10650.000000,11350.000000,11350.000000,5409800
2019-09-18,11350.000000,11350.000000,10850.000000,11225.000000,11225.000000,1110000
2019-09-19,11200.000000,11275.000000,10900.000000,10925.000000,10925.000000,405200
